MatchNumber,MatchTime,Blue1Number,Blue1Name,Blue2Number,Blue2Name,Gold1Number,Gold1Name,Gold2Number,Gold2Name,BlueScore,GoldScore,MatchCompleted,WinScore,WinTeam,Win1,Win2,LoseScore,Lose1,Lose2,Lose3,Lose4,TieScore,Tie1,Tie2,Tie3,Tie4,WinDifference,LoseDifference,Day,Time,VideoURL,MatchType
1,Sat 12:30 PM,9,Hercules,6,Middle College,18,Cal Prep,37,Coliseum,,,,,,,,,,,,,FALSE,,,,,0,0,Sat,12:30 PM,,Q
2,Sat 12:40 PM,3,De Anza,40,Salesian,14,Oakland Tech,15,Pinole Valley,,,,,,,,,,,,,FALSE,,,,,0,0,Sat,12:40 PM,,Q
3,Sat 12:50 PM,26,OSA,8,Bishop,10,Skyline,4,LPS Rich,,,,,,,,,,,,,FALSE,,,,,0,0,Sat,12:50 PM,,Q
4,Sat 1:00 PM,35,Hayward,29,REALM,1,Albany,12,El Cerrito,,,,,,,,,,,,,FALSE,,,,,0,0,Sat,1:00 PM,,Q
5,Sat 1:10 PM,14,Oakland Tech,20,Encinal,37,Coliseum,41,ARISE,,,,,,,,,,,,,FALSE,,,,,0,0,Sat,1:10 PM,,Q
6,Sat 1:20 PM,17,ACLC,31,Arroyo,26,OSA,3,De Anza,,,,,,,,,,,,,FALSE,,,,,0,0,Sat,1:20 PM,,Q
7,Sat 1:30 PM,40,Salesian,36,Miramonte,10,Skyline,29,REALM,,,,,,,,,,,,,FALSE,,,,,0,0,Sat,1:30 PM,,Q
8,Sat 1:40 PM,41,ARISE,14,Oakland Tech,18,Cal Prep,6,Middle College,,,,,,,,,,,,,FALSE,,,,,0,0,Sat,1:40 PM,,Q
9,Sat 1:50 PM,20,Encinal,37,Coliseum,15,Pinole Valley,4,LPS Rich,,,,,,,,,,,,,FALSE,,,,,0,0,Sat,1:50 PM,,Q
10,Sat 2:00 PM,31,Arroyo,26,OSA,12,El Cerrito,35,Hayward,,,,,,,,,,,,,FALSE,,,,,0,0,Sat,2:00 PM,,Q
11,Sat 2:10 PM,1,Albany,8,Bishop,3,De Anza,6,Middle College,,,,,,,,,,,,,FALSE,,,,,0,0,Sat,2:10 PM,,Q
12,Sat 2:20 PM,4,LPS Rich,9,Hercules,15,Pinole Valley,40,Salesian,,,,,,,,,,,,,FALSE,,,,,0,0,Sat,2:20 PM,,Q
13,Sat 2:30 PM,10,Skyline,14,Oakland Tech,12,El Cerrito,29,REALM,,,,,,,,,,,,,FALSE,,,,,0,0,Sat,2:30 PM,,Q
14,Sat 2:40 PM,31,Arroyo,1,Albany,17,ACLC,26,OSA,,,,,,,,,,,,,FALSE,,,,,0,0,Sat,2:40 PM,,Q
15,Sat 2:50 PM,18,Cal Prep,20,Encinal,3,De Anza,35,Hayward,,,,,,,,,,,,,FALSE,,,,,0,0,Sat,2:50 PM,,Q
16,Sat 3:00 PM,41,ARISE,15,Pinole Valley,29,REALM,36,Miramonte,,,,,,,,,,,,,FALSE,,,,,0,0,Sat,3:00 PM,,Q
17,Sat 3:10 PM,37,Coliseum,4,LPS Rich,12,El Cerrito,17,ACLC,,,,,,,,,,,,,FALSE,,,,,0,0,Sat,3:10 PM,,Q
18,Sat 3:20 PM,35,Hayward,20,Encinal,8,Bishop,9,Hercules,,,,,,,,,,,,,FALSE,,,,,0,0,Sat,3:20 PM,,Q
19,Sun 9:00 AM,1,Albany,6,Middle College,12,El Cerrito,15,Pinole Valley,,,,,,,,,,,,,FALSE,,,,,0,0,Sun,9:00 AM,,Q
20,Sun 9:15 AM,17,ACLC,37,Coliseum,35,Hayward,36,Miramonte,,,,,,,,,,,,,FALSE,,,,,0,0,Sun,9:15 AM,,Q
21,Sun 9:30 AM,3,De Anza,31,Arroyo,41,ARISE,9,Hercules,,,,,,,,,,,,,FALSE,,,,,0,0,Sun,9:30 AM,,Q
22,Sun 9:45 AM,8,Bishop,20,Encinal,29,REALM,40,Salesian,,,,,,,,,,,,,FALSE,,,,,0,0,Sun,9:45 AM,,Q
23,Sun 10:00 AM,10,Skyline,26,OSA,14,Oakland Tech,18,Cal Prep,,,,,,,,,,,,,FALSE,,,,,0,0,Sun,10:00 AM,,Q
24,Sun 10:15 AM,36,Miramonte,4,LPS Rich,1,Albany,9,Hercules,,,,,,,,,,,,,FALSE,,,,,0,0,Sun,10:15 AM,,Q
25,Sun 10:30 AM,40,Salesian,31,Arroyo,17,ACLC,8,Bishop,,,,,,,,,,,,,FALSE,,,,,0,0,Sun,10:30 AM,,Q
26,Sun 10:45 AM,10,Skyline,18,Cal Prep,6,Middle College,41,ARISE,,,,,,,,,,,,,FALSE,,,,,0,0,Sun,10:45 AM,,Q
101,Sun 12:30 PM,1,QF1,1,QF1,1,QF1,1,QF1,,,,,,,,,,,,,FALSE,,,,,0,0,Sun,12:30 PM,,
102,Sun 12:40 PM,1,QF1,1,QF1,1,QF1,1,QF1,,,,,,,,,,,,,FALSE,,,,,0,0,Sun,12:40 PM,,
103,Sun 12:50 PM,1,QF1,1,QF1,1,QF1,1,QF1,,,,,,,,,,,,,FALSE,,,,,0,0,Sun,12:50 PM,,
104,Sun 1:00 PM,1,QF2,1,QF2,1,QF2,1,QF2,,,,,,,,,,,,,FALSE,,,,,0,0,Sun,1:00 PM,,
105,Sun 1:10 PM,1,QF2,1,QF2,1,QF2,1,QF2,,,,,,,,,,,,,FALSE,,,,,0,0,Sun,1:10 PM,,
106,Sun 1:20 PM,1,QF2,1,QF2,1,QF2,1,QF2,,,,,,,,,,,,,FALSE,,,,,0,0,Sun,1:20 PM,,
